Discipline,Gender,Event,order,ENG Description,POR Description,ENG longdescription,POR longdescription,Team Event
SW,M,433,47,Men's 100m Backstroke - S13,100m costas masculino - S13,Men's 100m Backstroke - S13,100m costas masculino - S13,N
SW,M,434,48,Men's 100m Backstroke - S14,100m costas masculino - S14,Men's 100m Backstroke - S14,100m costas masculino - S14,N
SW,M,543,69,Men's 150m Individual Medley - SM3,150m medley masculino - SM3,Men's 150m Individual Medley - SM3,150m medley masculino - SM3,N
SW,M,544,70,Men's 150m Individual Medley - SM4,150m medley masculino - SM4,Men's 150m Individual Medley - SM4,150m medley masculino - SM4,N
SW,M,566,71,Men's 200m Individual Medley - SM6,200m medley masculino - SM6,Men's 200m Individual Medley - SM6,200m medley masculino - SM6,N
SW,M,567,72,Men's 200m Individual Medley - SM7,200m medley masculino - SM7,Men's 200m Individual Medley - SM7,200m medley masculino - SM7,N
SW,M,568,73,Men's 200m Individual Medley - SM8,200m medley masculino - SM8,Men's 200m Individual Medley - SM8,200m medley masculino - SM8,N
SW,M,569,74,Men's 200m Individual Medley - SM9,200m medley masculino - SM9,Men's 200m Individual Medley - SM9,200m medley masculino - SM9,N
SW,M,570,75,Men's 200m Individual Medley - SM10,200m medley masculino - SM10,Men's 200m Individual Medley - SM10,200m medley masculino - SM10,N
SW,M,571,76,Men's 200m Individual Medley - SM11,200m medley masculino - SM11,Men's 200m Individual Medley - SM11,200m medley masculino - SM11,N
SW,M,573,77,Men's 200m Individual Medley - SM13,200m medley masculino - SM13,Men's 200m Individual Medley - SM13,200m medley masculino - SM13,N
SW,M,574,78,Men's 200m Individual Medley - SM14,200m medley masculino - SM14,Men's 200m Individual Medley - SM14,200m medley masculino - SM14,N
SW,M,712,79,Men's 4x100m Freestyle Relay - 34 Points,Revezamento 4x100m livre masc- 34 pontos,Men's 4x100m Freestyle Relay - 34 Points,Revezamento 4x100m livre masculino - 34 pontos,N
SW,M,752,80,Men's 4x100m Medley Relay - 34 Points,Revezamento 4x100m medley masc-34 pontos,Men's 4x100m Medley Relay - 34 Points,Revezamento 4x100m medley masculino - 34 pontos,Y
SW,W,000,,Women's Swimming,Natação feminina,Women's Swimming,Natação feminina,
SW,W,104,81,Women's 50m Freestyle - S4,50m livre feminino - S4,Women's 50m Freestyle - S4,50m livre feminino - S4,N
