Discipline,Gender,Event,order,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription,Team Event,Old DDGEEE
STK,M,1500M-------------,3,Men's 1500m,1 500 m hommes,남자 1500 m,Men's 1500m,1 500 m hommes,남자 1500 m,N,STM015
STK,M,5000MRY4----------,4,Men's 5000m Relay,Relais 5 000 m hommes,남자 계주 5000 m,Men's 5000m Relay,Relais 5 000 m hommes,남자 계주 5000 m,Y,STM450
STK,W,500M--------------,5,Ladies' 500m,500 m dames,여자 500 m,Ladies' 500m,500 m dames,여자 500 m,N,STW005
STK,W,1000M-------------,6,Ladies' 1000m,1 000 m dames,여자 1000 m,Ladies' 1000m,1 000 m dames,여자 1000 m,N,STW010
STK,W,1500M-------------,7,Ladies' 1500m,1 500 m dames,여자 1500 m,Ladies' 1500m,1 500 m dames,여자 1500 m,N,STW015
STK,W,3000MRY4----------,8,Ladies' 3000m Relay,Relais 3 000 m dames,여자 계주 3000 m,Ladies' 3000m Relay,Relais 3 000 m dames,여자 계주 3000 m,Y,STW430
STK,-,------------------,,Short Track Speed Skating,Patinage de vitesse sur piste courte,쇼트트랙 스피드 스케이팅,Short Track Speed Skating,Patinage de vitesse sur piste courte,쇼트트랙 스피드 스케이팅,,ST0000
STK,M,------------------,,Men's Short Track Speed Skating,Patinage de vitesse sur piste courte hom,쇼트트랙 스피드 스케이팅 남자경기,Men's Short Track Speed Skating,Patinage de vitesse sur piste courte hom,쇼트트랙 스피드 스케이팅 남자경기,,STM000
STK,W,------------------,,Ladies' Short Track Speed Skating,Patinage de vitesse sur piste courte dam,쇼트트랙 스피드 스케이팅 여자경기,Ladies' Short Track Speed Skating,Patinage de vitesse sur piste courte dam,쇼트트랙 스피드 스케이팅 여자경기,,STW000
TRU,-,ALP---------------,,Alpine Skiing,Ski Alpin,알파인 스키,Alpine Skiing,Ski Alpin,알파인 스키,,UT0AST
TRU,-,BOB---------------,,Bobsleigh,Bobsleigh,봅슬레이,Bobsleigh,Bobsleigh,봅슬레이,,UT0BST
TRU,-,BTH---------------,,Biathlon,Biathlon,바이애슬론,Biathlon,Biathlon,바이애슬론,,UT0BTT
TRU,-,CCS---------------,,Cross-Country Skiing,Ski de Fond,크로스컨트리 스키,Cross-Country Skiing,Ski de Fond,크로스컨트리 스키,,UT0CCT
TRU,-,CUR---------------,,Curling,Curling,컬링,Curling,Curling,컬링,,UT0CUT
TRU,-,FRS---------------,,Freestyle,Ski Acrobatique,프리스타일 스키,Freestyle,Ski Acrobatique,프리스타일 스키,,UT0FRT
TRU,-,FSK---------------,,Figure Skating,Patinage Artistique,피겨 스케이팅,Figure Skating,Patinage Artistique,피겨 스케이팅,,UT0FST
TRU,-,IHO---------------,,Ice Hockey,Hockey sur Glace,아이스 하키,Ice Hockey,Hockey sur Glace,아이스 하키,,UT0IHT
TRU,-,LUG---------------,,Luge,Luge,루지,Luge,Luge,루지,,UT0LGT
TRU,-,NCB---------------,,Nordic Combined,Combiné Nordique,노르딕 복합,Nordic Combined,Combiné Nordique,노르딕 복합,,UT0NCT
TRU,-,SBD---------------,,Snowboard,Surf des Neiges,스노보드,Snowboard,Surf des Neiges,스노보드,,UT0SBT
TRU,-,SJP---------------,,Ski Jumping,Saut à Ski,스키점프,Ski Jumping,Saut à Ski,스키점프,,UT0SJT
TRU,-,SKN---------------,,Skeleton,Skeleton,스켈레톤,Skeleton,Skeleton,스켈레톤,,UT0SNT
TRU,-,SSK---------------,,Speed Skating,Patinage de Vitesse,스피드 스케이팅,Speed Skating,Patinage de Vitesse,스피드 스케이팅,,UT0SST
TRU,-,STK---------------,,Short Track,Patinage sur Piste Courte,쇼트트랙,Short Track,Patinage sur Piste Courte,쇼트트랙,,UT0STT
