Discipline,Gender,Event,phase,type,ENG Description,POR Description,SPA Description,ENG longdescription,POR longdescription,SPA longdescription,ENG phase Description,POR phase Description,SPA phase Description
SW,M,233,0,8,Men's 100m Butterfly - S13,100m borboleta masculino - S13,100m mariposa masculino - S13,Men's 100m Butterfly - S13,100m borboleta masculino - S13,100m mariposa masculino - S13,"","",
SW,M,233,1,3,Men's 100m Butterfly - S13 Final,"100m borboleta masculino - S13, final","100m mariposa masc - S13, final",Men's 100m Butterfly - S13 Final,"100m borboleta masculino - S13, final","100m mariposa masculino - S13, final",Final,Final,Final
SW,M,233,9,3,Men's 100m Butterfly - S13 Heats,"100m borboleta masc - S13, eliminatórias","100m mariposa masc - S13, eliminatorias",Men's 100m Butterfly - S13 Heats,"100m borboleta masculino - S13, eliminatórias","100m mariposa masculino - S13, eliminatorias",Heats,Eliminatórias,Eliminatorias
SW,M,233,M,6,Men's 100m B/fly - S13 VC,"100m borboleta masc-S13, cer. premiação","100m mariposa masc - S13, cer. medallas",Men's 100m Butterfly - S13 Victory Ceremony,"100m borboleta masculino - S13, cerimônia de premiação","100m mariposa masculino - S13, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
SW,M,302,0,8,Men's 50m Breaststroke - SB2,50m peito masculino - SB2,50m braza masculino - SB2,Men's 50m Breaststroke - SB2,50m peito masculino - SB2,50m braza masculino - SB2,"","",
SW,M,302,1,3,Men's 50m Breaststroke - SB2 Final,"50m peito masculino - SB2, final","50m braza masc - SB2, final",Men's 50m Breaststroke - SB2 Final,"50m peito masculino - SB2, final","50m braza masculino - SB2, final",Final,Final,Final
SW,M,302,9,3,Men's 50m Breaststroke - SB2 Heats,"50m peito masculino - SB2, eliminatórias","50m braza masc - SB2, eliminatorias",Men's 50m Breaststroke - SB2 Heats,"50m peito masculino - SB2, eliminatórias","50m braza masculino - SB2, eliminatorias",Heats,Eliminatórias,Eliminatorias
SW,M,302,M,6,Men's 50m Breaststroke - SB2 VC,"50m peito masculino-SB2, cer. premiação","50m braza masc - SB2, cer. medallas",Men's 50m Breaststroke - SB2 Victory Ceremony,"50m peito masculino - SB2, cerimônia de premiação","50m braza masculino - SB2, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
SW,M,303,0,8,Men's 50m Breaststroke - SB3,50m peito masculino - SB3,50m braza masculino - SB3,Men's 50m Breaststroke - SB3,50m peito masculino - SB3,50m braza masculino - SB3,"","",
SW,M,303,1,3,Men's 50m Breaststroke - SB3 Final,"50m peito masculino - SB3, final","50m braza masc - SB3, final",Men's 50m Breaststroke - SB3 Final,"50m peito masculino - SB3, final","50m braza masculino - SB3, final",Final,Final,Final
SW,M,303,9,3,Men's 50m Breaststroke - SB3 Heats,"50m peito masculino - SB3, eliminatórias","50m braza masc - SB3, eliminatorias",Men's 50m Breaststroke - SB3 Heats,"50m peito masculino - SB3, eliminatórias","50m braza masculino - SB3, eliminatorias",Heats,Eliminatórias,Eliminatorias
SW,M,303,M,6,Men's 50m Breaststroke - SB3 VC,"50m peito masculino-SB3, cer. premiação","50m braza masc - SB3, cer. medallas",Men's 50m Breaststroke - SB3 Victory Ceremony,"50m peito masculino - SB3, cerimônia de premiação","50m braza masculino - SB3, ceremonia de entrega de medallas",Victory Ceremony,Cerimônia de premiação,Ceremonia de entrega de medallas
