Id,competition,ENG Description,FRA Description,POR Description,SPA Description,ENG longdescription,FRA longdescription,POR longdescription,SPA longdescription,IndoorOutdoor,Cluster,City
PF2,N,Paralympic Family Hotel,Hôtel Fam. Paralympique,Hotel Família Paralímpica,Hotel Familia Paralímpica,Paralympic Family Hotel - Windsor Barra,Hôtel de la Famille Paralympique - Windsor Barra,Hotel da Família Paralímpica - Windsor Barra,Hotel de la Familia Paralímpica - Windsor Barra,,BAT,Rio de Janeiro
PFH,N,Windsor Oceânico,Windsor Oceânico,Windsor Oceânico,Windsor Oceânico,Main Paralympic Family Hotel - Windsor Oceânico,Hôtel principal fam. paralympique-Windsor Oceânico,Hotel Oficial Família Paralímpica-Windsor Oceânico,Hotel Princ. Fam. Paralímpica - Windsor Oceânico,,BAT,Rio de Janeiro
PIS,N,Pituaçu Stadium-SA,Stade Pituaçu (Salvador),Estádio Pituaçu-SA,Estadio Pituaçu-SA,Pituaçu Stadium (Salvador),Stade Pituaçu (Salvador),Estádio Pituaçu (Salvador),Estadio Pituaçu (Salvador),,FBC,Salvador
PMC,N,Cruise Accommodations,Terminal maritime,Acomodação de Navios ,Acomodaciones de Navíos,Pier Mauá Cruise Accommodations,Terminal maritime de Pier Mauá,Acomodação de Navios do Pier Mauá,Acomodaciones de Navíos Pier Mauá,,MRZ,Rio de Janeiro
PMS,N,Primeiro de Maio Stadium,Stade Primeiro de Maio,Primeiro de Maio Stadium,Primeiro de Maio Stadium,Primeiro de Maio Stadium,Stade Primeiro de Maio,Primeiro de Maio Stadium,Primeiro de Maio Stadium,,,
PON,Y,Pontal,Pontal,Pontal,Pontal,Pontal,Pontal,Pontal,Pontal,O,BAT,Rio de Janeiro
PSJ,N,Parque São Jorge,Parc São Jorge,Parque São Jorge,Parque São Jorge,Parque São Jorge,Parc São Jorge,Parque São Jorge,Parque São Jorge,,,
RC2,Y,Riocentro - Pavilion 2,Riocentro - Pavillon 2,Riocentro - Pavilhão 2,Riocentro - Pabellón 2,Riocentro - Pavilion 2,Riocentro - Pavillon 2,Riocentro - Pavilhão 2,Riocentro - Pabellón 2,I,BAT,Rio de Janeiro
RC3,Y,Riocentro - Pavilion 3,Riocentro - Pavillon 3,Riocentro - Pavilhão 3,Riocentro - Pabellón 3,Riocentro - Pavilion 3,Riocentro - Pavillon 3,Riocentro - Pavilhão 3,Riocentro - Pabellón 3,I,BAT,Rio de Janeiro
RC4,Y,Riocentro - Pavilion 4,Riocentro - Pavillon 4,Riocentro - Pavilhão 4,Riocentro - Pabellón 4,Riocentro - Pavilion 4,Riocentro - Pavillon 4,Riocentro - Pavilhão 4,Riocentro - Pabellón 4,I,BAT,Rio de Janeiro
RC5,N,Riocentro - Pavilion 5,Riocentro - Pavillon 5,Riocentro - Pavilhão 5,Riocentro - Pabellón 5,Riocentro - Pavilion 5,Riocentro - Pavillon 5,Riocentro - Pavilhão 5,Riocentro - Pabellón 5,,BAT,Rio de Janeiro
RC6,Y,Riocentro - Pavilion 6,Riocentro - Pavillon 6,Riocentro - Pavilhão 6,Riocentro - Pabellón 6,Riocentro - Pavilion 6,Riocentro - Pavillon 6,Riocentro - Pavilhão 6,Riocentro - Pabellón 6,I,BAT,Rio de Janeiro
RCD,N,BPK Common Domain,Zone publique du BPK,Área Comum BPK,Espacio Común BPK,Barra Olympic Park Common Domain,Zone publique du Parc olympique de Barra,Área Comum do Parque Olímpico da Barra,Espacio Común del Parque Olímpico de Barra,,BAT,Rio de Janeiro
RHQ,N,Rio 2016 Office,Bureau de Rio 2016,Escritório Rio 2016,Oficina Rio 2016,Rio 2016 Office,Bureau de Rio 2016,Escritório Rio 2016,Oficina Rio 2016,,MRZ,Rio de Janeiro
RID,N,Riocentro Common Domain,Zone publique Riocentro,Área Comum do Riocentro,Espacio Común Riocentro,Riocentro Common Domain,Zone publique de Riocentro,Área Comum do Riocentro,Espacio Común de Riocentro,,BAT,Rio de Janeiro
ROA,Y,Rio Olympic Arena,Halle olympique de Rio,Arena Olímpica do Rio,Arena Olímpica de Río,Rio Olympic Arena,Halle olympique de Rio,Arena Olímpica do Rio,Arena Olímpica de Río,I,BAT,Rio de Janeiro
ROV,Y,Rio Olympic Velodrome,Vélodrome Olympique Rio,Velódromo Olímpico do Rio,Velódromo Olímpico de Río,Rio Olympic Velodrome,Vélodrome Olympique de Rio,Velódromo Olímpico do Rio,Velódromo Olímpico de Río,I,BAT,Rio de Janeiro
SBD,Y,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,O,MRZ,Rio de Janeiro
SDU,N,Santos Dumont Airport,Aéroport Santos Dumont,Aeroporto Santos Dumont,Aeropuerto Santos Dumont,Santos Dumont Domestic Airport,Aéroport national Santos Dumont,Aeroporto Doméstico Santos Dumont,Aeropuerto Doméstico Santos Dumont,,COP,Rio de Janeiro
SPA,Y,Corinthians Arena,Stade des Corinthians,Arena Corinthians,Arena Corinthians,Corinthians Arena,Stade des Corinthians,Arena Corinthians,Arena Corinthians,O,FBC,São Paulo
SSA,N,Salvador Intl Airport,Aéroport inter. Salvador,Aeroporto Intl Salvador,Aeropuerto Int. Salvador,Salvador International Airport,Aéroport international de Salvador,Aeroporto Internacional de Salvador,Aeropuerto Internacional de Salvador,,FBC,Salvador
SVN,N,SESC Venda Nova-BH,SESC Venda Nova (BH),SESC Venda Nova-BH,SESC Venda Nova-BH,SESC Venda Nova (Belo Horizonte),SESC Venda Nova (Belo Horizonte),SESC Venda Nova (Belo Horizonte),SESC Venda Nova (Belo Horizonte),,FBC,Belo Horizonte
TM3,N,SESI Manaus Training Site,Site entrain. SESI Manaus,SESI Manaus Training Site,SESI Manaus Training Site,SESI Manaus Training Site,Site d'entrainement SESI Manaus,SESI Manaus Training Site,SESI Manaus Training Site,,,
TOC,N,Technology Ops Centre,Centre op. techniques,Centro de Ope Tecnologia,Ctro de Op. de Tecnología,Technology Operations Centre,Centre des opérations techniques,Centro de Operações de Tecnologia,Centro de Operaciones de Tecnología,,MRZ,Rio de Janeiro
TR2,N,Toca da Raposa,Toca da Raposa,Toca da Raposa,Toca da Raposa,Toca da Raposa,Toca da Raposa,Toca da Raposa,Toca da Raposa,,,
UAC,N,Uniform and ACR Ctr.,Ctre d'ACR et d'uniformes,Ctr. de Uniformes e ACR,Ctro Uniformes y ACR,Uniform and Accreditation Centre,Centre d'accréditation et d'uniformes,Centro de Uniformes e Credenciamento,Centro de Uniformes y Acreditación,,MRZ,Rio de Janeiro
WWS,Y,Whitewater Stadium,Parcours de canoë slalom,Estádio Canoagem Slalom,Estadio Canotaje Slalom,Whitewater Stadium,Parcours de canoë - slalom,Estádio de Canoagem Slalom,Estadio de Canotaje Slalom,O,DEO,Rio de Janeiro
XCD,N,X-Park Common Domain,Zone publique du X-Park,Área Comum do X-Park ,Espacio Común del X-Park,X-Park Common Domain,Zone publique du Parc Radical,Área Comum do Parque Radical,Espacio Común del Parque Radical,,DEO,Rio de Janeiro
YOA,Y,Youth Arena,Halle de la jeunesse,Arena da Juventude,Arena de la Juventud,Youth Arena,Halle de la jeunesse,Arena da Juventude,Arena de la Juventud,I,DEO,Rio de Janeiro
