Discipline,Gender,Event,phase,type,ENG Description,POR Description,ENG longdescription,POR longdescription,ENG phase Description,POR phase Description
AT,M,710,M,6,Men's Marathon - T12 VC,"Maratona masculina - T12, cer. premiação",Men's Marathon - T12 Victory Ceremony,"Maratona masculina - T12, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,710,N,7,Men's Marathon - T12 Draw,"Maratona masculina - T12, sorteio",Men's Marathon - T12 Draw,"Maratona masculina - T12, sorteio",Draw,Sorteio
AT,M,740,0,8,Men's Marathon - T46,Maratona masculina - T46,Men's Marathon - T46,Maratona masculina - T46,"",""
AT,M,740,1,3,Men's Marathon - T46,Maratona masculina - T46,Men's Marathon - T46,Maratona masculina - T46,"",""
AT,M,740,M,6,Men's Marathon - T46 VC,"Maratona masculina - T46, cer. premiação",Men's Marathon - T46 Victory Ceremony,"Maratona masculina - T46, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,740,N,7,Men's Marathon - T46 Draw,"Maratona masculina - T46, sorteio",Men's Marathon - T46 Draw,"Maratona masculina - T46, sorteio",Draw,Sorteio
AT,M,760,0,8,Men's Marathon - T54,Maratona masculina - T54,Men's Marathon - T54,Maratona masculina - T54,"",""
AT,M,760,1,3,Men's Marathon - T54,Maratona masculina - T54,Men's Marathon - T54,Maratona masculina - T54,"",""
AT,M,760,M,6,Men's Marathon - T54 VC,"Maratona masculina - T54, cer. premiação",Men's Marathon - T54 Victory Ceremony,"Maratona masculina - T54, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,760,N,7,Men's Marathon - T54 Draw,"Maratona masculina - T54, sorteio",Men's Marathon - T54 Draw,"Maratona masculina - T54, sorteio",Draw,Sorteio
AT,M,810,0,8,Men's 800m - T12,800m rasos masc - T12,Men's 800m - T12,800m rasos masculino - T12,"",""
AT,M,810,1,3,Men's 800m - T12 Final,"800m rasos masc - T12, final",Men's 800m - T12 Final,"800m rasos masculino - T12, final",Final,Final
AT,M,810,2,3,Men's 800m - T12 Semifinals,"800m rasos masc - T12, semifinais",Men's 800m - T12 Semifinals,"800m rasos masculino - T12, semifinais",Semifinals,Semifinais
AT,M,810,9,3,Men's 800m - T12 Round 1,"800m rasos masc - T12, primeira fase",Men's 800m - T12 Round 1,"800m rasos masculino - T12, primeira fase",Round 1,Fase 1
AT,M,810,M,6,Men's 800m - T12 VC,"800m rasos masc - T12, cer. de premiação",Men's 800m - T12 Victory Ceremony,"800m rasos masculino - T12, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,810,N,7,Men's 800m - T12 Draw,"800m rasos masc - T12, sorteio",Men's 800m - T12 Draw,"800m rasos masculino - T12, sorteio",Draw,Sorteio
AT,M,813,0,8,Men's 800m - T13,800m rasos masc - T13,Men's 800m - T13,800m rasos masculino - T13,"",""
AT,M,813,1,3,Men's 800m - T13 Final,"800m rasos masc - T13, final",Men's 800m - T13 Final,"800m rasos masculino - T13, final",Final,Final
AT,M,813,2,3,Men's 800m - T13 Semifinals,"800m rasos masc - T13, semifinais",Men's 800m - T13 Semifinals,"800m rasos masculino - T13, semifinais",Semifinals,Semifinais
AT,M,813,9,3,Men's 800m - T13 Round 1,"800m rasos masc - T13, primeira fase",Men's 800m - T13 Round 1,"800m rasos masculino - T13, primeira fase",Round 1,Fase 1
AT,M,813,M,6,Men's 800m - T13 VC,"800m rasos masc - T13, cer. de premiação",Men's 800m - T13 Victory Ceremony,"800m rasos masculino - T13, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,813,N,7,Men's 800m - T13 Draw,"800m rasos masc - T13, sorteio",Men's 800m - T13 Draw,"800m rasos masculino - T13, sorteio",Draw,Sorteio
AT,M,830,0,8,Men's 800m - T36,800m rasos masc - T36,Men's 800m - T36,800m rasos masculino - T36,"",""
AT,M,830,1,3,Men's 800m - T36 Final,"800m rasos masc - T36, final",Men's 800m - T36 Final,"800m rasos masculino - T36, final",Final,Final
AT,M,830,2,3,Men's 800m - T36 Semifinals,"800m rasos masc - T36, semifinais",Men's 800m - T36 Semifinals,"800m rasos masculino - T36, semifinais",Semifinals,Semifinais
AT,M,830,9,3,Men's 800m - T36 Round 1,"800m rasos masc - T36, primeira fase",Men's 800m - T36 Round 1,"800m rasos masculino - T36, primeira fase",Round 1,Fase 1
AT,M,830,M,6,Men's 800m - T36 VC,"800m rasos masc - T36, cer. de premiação",Men's 800m - T36 Victory Ceremony,"800m rasos masculino - T36, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,830,N,7,Men's 800m - T36 Draw,"800m rasos masc - T36, sorteio",Men's 800m - T36 Draw,"800m rasos masculino - T36, sorteio",Draw,Sorteio
AT,M,837,0,8,Men's 800m - T37,800m rasos masc - T37,Men's 800m - T37,800m rasos masculino - T37,"",""
AT,M,837,1,3,Men's 800m - T37 Final,"800m rasos masc - T37, final",Men's 800m - T37 Final,"800m rasos masculino - T37, final",Final,Final
AT,M,837,2,3,Men's 800m - T37 Semifinals,"800m rasos masc - T37, semifinais",Men's 800m - T37 Semifinals,"800m rasos masculino - T37, semifinais",Semifinals,Semifinais
AT,M,837,9,3,Men's 800m - T37 Round 1,"800m rasos masc - T37, primeira fase",Men's 800m - T37 Round 1,"800m rasos masculino - T37, primeira fase",Round 1,Fase 1
AT,M,837,M,6,Men's 800m - T37 VC,"800m rasos masc - T37, cer. de premiação",Men's 800m - T37 Victory Ceremony,"800m rasos masculino - T37, cerimônia de premiação",Victory Ceremony,Cerimônia de premiação
AT,M,837,N,7,Men's 800m - T37 Draw,"800m rasos masc - T37, sorteio",Men's 800m - T37 Draw,"800m rasos masculino - T37, sorteio",Draw,Sorteio
AT,M,840,0,8,Men's 800m - T46,800m rasos masc - T46,Men's 800m - T46,800m rasos masculino - T46,"",""
AT,M,840,1,3,Men's 800m - T46 Final,"800m rasos masc - T46, final",Men's 800m - T46 Final,"800m rasos masculino - T46, final",Final,Final
